CreditScore|HomeAge|YearsEmployed|CreditCardDebt|Year|Default
752|24|3|8930|2009|1
715|9|8|6403|2009|0
635|16|5|7561|2008|0
744|20|6|8628|2008|1
756|26|8|6083|2008|0
684|18|6|6206|2008|0
745|23|6|6712|2008|0
654|15|3|1193|2009|0
737|30|3|3614|2008|0
699|18|3|3902|2007|0
711|18|7|4866|2008|0
687|24|2|7157|2009|0
620|29|3|8646|2009|1
761|18|6|2782|2008|0
740|8|5|5490|-|0
636|19|5|2996|2007|0
710|28|4|7466|2007|0
645|26|4|6658|2007|0
753|34|7|6582|2007|0
677|19|4|5607|2009|0
666|19|3|0|2007|0
672|12|3|1368|2008|0
647|11|7|2922|2008|0
698|21|7|6168|2009|0
713|12|7|3391|2007|0
706|31|7|7611|2007|0
784|15|7|4677|2009|0
712|25|5|4065|2008|0
719|32|6|9318|2008|1
703|12|5|4198|2009|0
784|24|9|2216|2007|0
680|20|2|8651|2007|0
716|11|6|9494|2009|1
646|25|3|6011|2009|0
655|25|3|4563|2008|0
750|12|8|9118|2009|1
694|30|3|4266|2007|0
644|22|8|4347|2009|0
712|28|4|4634|2008|0
735|16|7|4512|2009|0
686|18|5|7859|2008|0
702|27|1|4780|2008|0
756|29|7|7368|2007|0
657|23|6|2981|2007|0
756|13|7|7098|2009|0
642|21|8|8376|2008|1
762|16|5|6055|2009|0
654|22|3|7956|2008|0
691|26|8|5335|2007|0
745|10|3|6113|2009|0
789|18|4|6320|2009|0
689|15|4|2268|2009|0
771|9|6|2284|2008|0
756|30|5|3674|2007|0
594|21|1|5880|2009|0
729|18|5|7376|2009|0
711|32|6|8406|2008|0
709|20|1|10118|2008|1
622|23|5|8314|2009|1
643|11|5|6278|2009|0
741|16|7|7502|2007|0
698|23|6|5869|2008|0
710|15|5|3860|2009|0
647|12|4|6009|2007|0
654|21|2|4394|2008|0
695|20|6|-|2008|0
669|11|5|4599|2007|0
726|16|3|3797|2009|0
655|23|7|11661|2008|1
592|27|4|9355|2008|1
680|13|8|4658|2009|0
641|16|4|8042|2008|0
722|33|3|4721|2007|0
627|20|3|6818|2009|1
736|16|8|3998|2007|0
652|4|5|7881|2009|1
701|31|0|10020|2007|1
789|21|4|0|2007|0
602|29|4|3492|2008|0
724|23|7|4864|2007|0
768|20|6|10082|2009|1
736|22|5|8665|2009|1
676|9|6|6755|2007|0
654|13|5|5591|2009|0
832|11|4|11305|2008|1
721|14|0|5702|2007|0
693|20|4|8879|2009|1
708|20|3|3941|2008|0
649|31|2|4639|2008|0
744|15|3|10682|2009|1
687|29|2|2484|2007|0
791|30|4|5372|2008|0
729|26|4|8745|2009|1
711|22|6|5642|2008|0
641|18|4|6697|2009|1
725|20|5|1316|2009|0
678|14|2|6607|2008|0
715|15|4|4980|2009|0
698|22|5|6521|2008|0
707|11|4|4380|2007|0
695|16|6|6572|2009|0
687|16|6|4833|2007|0
647|22|6|5176|2008|0
579|19|7|7727|2008|0
652|10|6|3329|2007|0
721|15|7|7041|2009|0
786|26|5|8379|2009|1
687|11|9|3511|2008|0
636|23|7|5360|2008|0
807|17|3|10577|2007|1
714|22|4|4118|2009|0
722|23|6|5685|2007|0
662|19|5|7935|2008|1
